,Posted,Pickup,Origin City,Origin State,Destination City,Destination State,Wt,Size,Dist,Truck,Price,Forecast Price,Price Per Mile,Forecast Per Mile,Company,Contact Links,Demand
49,2023-12-07 01:15:10.527530,8 Dec,Orangeburg,NY,Philadelphia,PA,—,Full,117 mi,Power Only,0,284,0.0,2.43,J. B. Hunt,tel:+14798200000,
50,2023-12-07 01:15:10.548848,18 Dec,Guilderland Center,NY,Jonestown,PA,—,Full,224 mi,Van,0,620,0.0,2.77,Landstar Inway,tel:+19417578563,
51,2023-12-07 01:15:10.556636,12 Dec,Rochester,NY,"Bethlehem      ,no",PA,—,Full,291 mi,Van,0,785,0.0,2.7,J. B. Hunt,tel:+14798200000,
52,2023-12-06 01:15:10.563937,11 Dec,Syracuse,NY,Bedford,PA,—,Full,306 mi,Reefer,0,963,0.0,3.15,J. B. Hunt,tel:+14798200000,
53,2023-12-06 01:15:10.569247,18 Dec,Buffalo,NY,Pittsburgh,PA,—,Full,214 mi,Reefer,801,0,3.74,0.0,ARL Logistics,tel:+14125073060,
54,2023-12-06 01:15:10.578302,15 Dec,Rotterdam,NY,Center Valley,PA,9k,Full,225 mi,Van,703,0,3.12,0.0,Ally Logistics,tel:+18884661024,
55,2023-12-06 01:15:10.586455,20 Dec,Rock Hill,NY,Imperial,PA,—,Full,381 mi,Reefer,835,0,2.19,0.0,Triple T Transport,tel:+18003651723,
56,2023-12-06 01:15:10.605740,11 Dec,Bohemia,NY,Pottsville,PA,25k,Full,193 mi,Reefer,1000,0,5.18,0.0,"Central Marketing Transport Services, LLC",tel:+13175589970,
57,2023-12-05 01:15:10.616759,11 Dec,Watervliet,NY,Phoenixville,PA,31k,Full,257 mi,Van,797,0,3.1,0.0,Direct Traffic Solutions,tel:+17325874000,
58,2023-12-05 01:15:10.627980,27 Dec,Oswego,NY,Philadelphia,PA,—,Full,303 mi,Reefer,703,0,2.32,0.0,Triple T Transport,tel:+18003651723,
59,2023-12-05 01:15:10.637765,18 Dec,Oswego,NY,Philadelphia,PA,—,Full,303 mi,Reefer,703,0,2.32,0.0,Triple T Transport,tel:+18003651723,
60,2023-12-05 01:15:10.645350,27 Dec,Marion,NY,Philadelphia,PA,—,Full,336 mi,Reefer,720,0,2.14,0.0,Triple T Transport,tel:+18003651723,
61,2023-12-05 01:15:10.654506,19 Dec,Marion,NY,Philadelphia,PA,—,Full,336 mi,Reefer,720,0,2.14,0.0,Triple T Transport,tel:+18003651723,
62,2023-12-05 01:15:10.663215,12 Dec,Marion,NY,Philadelphia,PA,—,Full,336 mi,Reefer,720,0,2.14,0.0,Triple T Transport,tel:+18003651723,
63,2023-12-03 01:15:10.673764,14 Dec,Binghamton,NY,Pittsburgh,PA,30k,Full,346 mi,Van,798,0,2.3,0.0,"Circle Logistics, Inc.",tel:+13123007447,
64,2023-12-02 01:15:10.681716,11 Dec,Albany,NY,Allentown,PA,500 lbs,Full,227 mi,Van,500,0,2.2,0.0,Ryder Freight Brokerage,tel:+18003923736,
65,2023-12-02 01:15:10.687497,11 Dec,Fulton,NY,Imperial,PA,15k,Full,374 mi,Reefer,1162,0,3.1,0.0,Triple T Transport,tel:+18003651723,
66,2023-12-02 01:15:10.697266,11 Dec,Fort Drum,NY,Mechanicsburg,PA,15k,Full,345 mi,Van,750,0,2.17,0.0,Virginia Transport,tel:+17735164700,
67,2023-12-02 01:15:10.708102,11 Dec,Rotterdam,NY,Center Valley,PA,8k,Full,225 mi,Van,699,0,3.1,0.0,Ally Logistics,tel:+18884661024,
68,2023-12-01 01:15:10.718127,12 Dec,Fredonia,NY,Taylor,PA,—,Full,304 mi,Van,945,0,3.1,0.0,Fox Logistics,tel:+19044548171,
69,2023-12-01 01:15:10.725262,11 Dec,Buffalo,NY,Pittsburgh,PA,—,Full,325 mi,Reefer,1007,0,3.09,0.0,ARL Logistics,tel:+14125073060,
70,2023-12-01 01:15:10.731659,18 Dec,Holtsville,NY,Covington Township,PA,25k,Full,165 mi,Reefer,511,0,3.09,0.0,New Era Logistics Inc,tel:+15136456600,
